name,address,phone,website,rating,reviews,type
Coffee,"Rue Ranaivo Paul, Antananarivo",,,5,1,Café
Kafe & Co,"4G66+8CF, Rue Docteur Joseph Raseta, Antananarivo",,,5,1,Café
Café du bonheur 幸福咖啡室,"3HM2+7JR, Antananarivo",,https://www.facebook.com/profile.php?id=100090289346525&mibextid=LQQJ4d,4.9,10,Café
Onyx café,"3GMP+HWH, Antananarivo",,,5,3,Café
Le Café,"3GRF+QR8, Antananarivo",,,4.8,4,Café
Maka Coffee Shop,"Enceinte Radama Hôtel, 22 Avenue Général Ramanantsoa, Antananarivo",034 11 326 26,,4.7,7,Café
Havana Café,"3GPG+VFG, Lalana Jean Ralaimongo Road, Antananarivo",,,4.5,10,Café
Dune Coffee Shop,"3GRP+P6M, Lalana Pastora Rabeony Hans, Antananarivo",038 50 156 97,,4.5,69,Café
Spoon Café,"4GHM+8XG, Rue Andriantsihoarana Ratsimbazafy, Antananarivo",034 25 810 14,https://www.facebook.com/spooncafetana/,4.3,64,Café
vara,Antananarivo,,,5,1,Café
Le gourmet Ivandry,"4GJH+MMJ, Antananarivo",,,4,3,Café
Tribu Café,"Balcon 1er étage, 2 Place de l’Indépendance, Antananarivo 101",,https://www.facebook.com/profile.php?id=61572803385138,5,4,Café
Bashir ka batha,"4F5R+525, Ligne D ""Score Digue, 4, Antananarivo",,,5,1,Café
Elior Bypass,"3H67+FP4, Antananarivo",034 22 848 59,http://wow.elior.mg/,5,1,Café
Café Galana Andrefan'Ambohijanahary,"3GHC+MFP, Antananarivo",,,4.5,4,Café
Café Ampasanimalo,"3GPQ+968, Arabe Jeneraly Charles de Gaulle, Antananarivo",,,5,1,Café
Edenethé - Studio des Délices,"Lot VA 2E, Rue Planque Edouard, Antananarivo",034 56 311 58,,5,2,Café
Le Plan B,"Cour carrée, Tana Water Front, Antananarivo 101",038 55 792 76,https://www.instagram.com/planb_261?igsh=MXZqcTM5anJibnduNg==,5,3,Café
TWILLY Luxury Spaces,Antananarivo,034 06 046 00,,5,1,Café
Café du Musée,Antananarivo 101,032 03 090 66,http://www.cafetana.mg/,4.6,161,Café
WORLD BREW,"4G7C+MGV, Antananarivo",,,,,Café
Custom Café - Motorcycle Concept,"Cour Teilliet Labrousse Antananarivo, 101",032 36 739 50,,4.1,27,Café
Krondon,"23 Lalana Refotana, Antananarivo",,http://www.kick.com/freshleb,5,1,Café
Fara West,"149 Lalana Rainandriamampandry, Antananarivo 101",032 69 851 30,,4.9,10,Café
K-Bakery,"101 Antananarivo, P102 Sud Ambohipo",037 41 515 49,https://www.facebook.com/share/1CxE7oTcct/,5,3,Café
BADASS MOTORCYCLE COMMUNITY,"RN3, Antananarivo",038 31 311 25,https://www.facebook.com/BdssMotorcycleCommunity/,4.6,44,Restaurant
Café & Resto RALE BOWL,"3G8P+QP3, Antananarivo",,,,,Café
comptoir des artistes,"Lot VC 59Q Rue Vittori François Ampasanimalo Antananarivo MG, 101, Lalana Vitori Francoise, Antananarivo",034 64 231 40,https://www.facebook.com/ComptoirDesArtistesTNR/,5,5,Café des arts
café sy mofo milay,"3GPP+H3R, Antananarivo",,,,,Café
La Rhumerie Madagascar,"Lot II J 181, Antananarivo 101",034 47 485 40,http://larhumeriemada.mg/,4.3,138,Café
Gossip Café Analamahitsy,"4GHW+2RP, Antananarivo",038 58 998 26,,,,Café
Sweet dream - salon de thé,"101 Lalana Russie, Antananarivo",034 98 748 96,,4,1,Café
Passion Gourmande – Pâtisserie & Salon de Thé,"Immeuble WMA, Lot IIJ 171 Ter, Antananarivo 101",034 66 053 88,https://www.passiongourmande.mg/,4.3,32,Pâtisserie
Tsenakely,"2FXC+FW6, Ankaditany",,,5,1,Café
Chill Out Café Ambondrona,"3GVH+95G, Lalana Rainandriamampandry, Antananarivo",034 06 003 78,,4.3,27,Bar
Tasty Pastry,"3GXG+PWP, Antananarivo",,,5,1,Café
INO MASHAKI,"Lot VQ 102 AI, Cite 101",034 85 675 24,,5,1,Café
LEGACY Lounge Bar,"Lot II P 63E, Antananarivo 101",038 39 904 78,https://www.facebook.com/share/16o3MS65Mw/,5,2,Bar
Juice and cake,"Zone Tana Waterfront, Antananarivo",,,4.7,3,Café
Gasy mofo,"3H55+7V6, Rue Andriamanelo, Antananarivo",034 51 319 71,,4.5,2,Café
Ronono Soja Ankatso 1,"3HJ3+G2M, Antananarivo",,,5,1,Café
Tsena RAVITOTO,"3HJG+34, Antananarivo",,,,,Café
Harilaza Consultancy,Ikianja,,,5,1,Café
Kafe sy mofo Golden Star,Antananarivo 112,,,,,Café
Gasy Burger,"4G4X+CVX, Route Moramanga 1947, Antananarivo",,,5,1,Café
Cerrahpasalilar Kahvehanesi,"3GQC+HG6, Lalana Raveloray, Antananarivo",,,,,Café
mofo kitoza,"3HF5+F5Q, Antananarivo",,,,,Café
Misy Katsaka - Barika Mena,"4G6M+249, Antananarivo",,,,,Café
Brownies By Nantsa,"4H56+QF, Antananarivo",034 60 362 49,https://www.facebook.com/profile.php?id=61560147119813&mibextid=JRoKGi,5,2,Café
Tsena manga kafe sy mofo,"3FVM+M79, Antananarivo",,,,,Café
Millenium,"4GHM+9V7, Rue Andriantsihoarana Ratsimbazafy, Antananarivo",,,4.2,10,Café
Уличное кафе около сакоманга,"2 Lalana Adrianary Ratianarivo, Antananarivo",,,5,2,Café
SR7 café restaurant,"2GWG+893, Antananarivo",,,,,Café
Meli café,"3F8F+P6C, Ampitatafika",032 92 505 38,https://www.facebook.com/profile.php?id=61553904767166&mibextid=ZbWKwL,1,1,Café
Café Mary,Antananarivo,032 03 061 69,,4.3,7,Café
Gâteaux d’Emotions,"4GHM+6WP, Antananarivo",,,4.5,12,Café
Tropique Snack,"3GRG+FC3, Antananarivo",,,5,2,Café
Banana Split,"3GHG+F3M, Antananarivo",,,3.9,7,Café
