name,address,phone,website,rating,reviews,type
eTech,Antananarivo,020 22 536 04,https://www.etechconsulting-mg.com/,4.6,20,Entreprise de logiciels
NUKLEAR,Antananarivo 101,+33 1 89 62 47 47,https://www.nuklear.io/,4.8,5,Entreprise de logiciels
Ingenosya,"Lot III U 134 Anosizato EST Antananarivo, 101",032 05 693 62,https://www.ingenosya.com/,4.1,15,Entreprise de logiciels
SRA MADAGASCAR - Logiciels de gestion Sage,"Nouvel Immeuble, Ny Havana, Antananarivo 101",034 22 693 43,https://www.sra-madagascar.com/,4.6,10,Entreprise de logiciels
ValanoTech,"La City, Antananarivo 101",038 06 513 48,https://www.valanotech.com/,4.4,9,Entreprise de logiciels
Creatic Madagascar,"Lot 149F IV Talatamaty, Antananarivo 105",034 11 405 25,https://crea-tic.net/,5,1,Entreprise de logiciels
MadaWeb Studio,Antananarivo 102,038 81 550 62,https://mada-web-iota.vercel.app/,5,2,Entreprise de logiciels
HaiRun Technology,"Immeuble Sodiama Rocade du Marais Masay Ankorondrano Antananarivo, 101",034 70 482 73,https://hairun-technology.com/,4,4,Entreprise de logiciels
TrustyLabs,"3GHH+H9M, Ny Tambalavo, Antananarivo",034 44 892 80,,5,12,Consultant informatique
ERICSSON Madagascar,"4GJH+J74, Antananarivo",,http://www.ericsson.com/,5,2,Entreprise de logiciels
Wedig'IT,"FII113 immeuble pharmacie d'Ambohimahitsy Antananarivo, 101",034 69 794 36,,5,5,Entreprise de logiciels
SmartPredict,"Immeuble CAP 3000 - 1er étage - Lot 1.1 Andraharo Antananarivo, 101",034 84 323 52,https://smartpredict.ai/,4.6,7,Entreprise de logiciels
Bolzano Technology Pvt. Ltd,"Ny Havana, Immeuble, Antananarivo",033 18 367 08,,5,1,Entreprise de logiciels
Salema IT,"3HJG+HH9, Antananarivo",034 35 542 85,https://salemait.rf.gd/,5,3,Entreprise de logiciels
DevelopA,"3GP5+333, Antananarivo",,,5,1,Entreprise de logiciels
RELIA,"3GCV+VX4, Antananarivo",034 77 558 34,,4.5,4,Entreprise de logiciels
E-DEV TEAM,"Manjaka Ilafy, Antananarivo 103",034 98 786 42,https://e-dev-site.vercel.app/,5,5,Entreprise de logiciels
NUMHERIT MADAGASCAR,"La-Haute-Villle, Lot VX-13, Antananarivo 101",034 05 050 85,,5,1,Entreprise de logiciels
Openflex.Cloud,"3GQH+G73, Antananarivo",,https://openflex.cloud/,4.4,10,Entreprise de logiciels
Versusmind,"Zone Tana Waterfront, Antananarivo",,https://versusmind.eu/agence/madagascar,4,1,Entreprise de logiciels
Cherry Tech and Design,Antananarivo 101,034 33 201 12,https://cherrytd.com/,4.8,13,Agence de marketing
YOURTARGET AGENCY - agence de marketing digital - agence web,"LOT Près 80 Ter Antsahabe Ankorahotra Antananarivo, 101",034 68 028 52,https://yourtargetagency.mg/,4.8,6,Concepteur de sites Web
Takamoa Company,"5ème Arrondissement, Antananarivo 101",034 52 586 47,https://takamoa.com/,4.8,25,Agence de marketing
Ilo Madagascar & Agence web marketing digitale & Concepteur site internet,"Lot V A 5 W Ampasanimalo Antananarivo Antananarivo, 101",034 72 896 32,https://www.ilo-madagascar.com/,4.6,25,Agence de marketing
Bienfe - Agence Web & Digital Offshore,"Lot 132 A bis Andranoro Antehiroka, Antananarivo 105",034 92 511 04,http://www.bienfe.agency/,4.5,14,Concepteur de sites Web
Tranokala,"Lot II J 96 Bis A, Antananarivo 101",034 41 189 33,https://www.tranokala.pro/,4.9,28,Service d'hébergement de site Web
Orion Digital Business | Création Site Web,"Lot A71 Antohibe Antananarivo, 105",034 96 496 95,https://iis-madagascar.com/,4.9,13,Concepteur de sites Web
CREAWEB AGENCY,"IIIV 60BIS AQ ANOSIZATO EST Tananarive, 101",+230 5728 1212,https://www.creawebagency.com/,5,5,Concepteur de sites Web
Mada Creative Agency : Agence de création de site internet et de référencement SEO et GEO,"Face 23, Lalana Marc Rabibisoa, Antananarivo 101",034 01 468 13,https://mada-creative-agency.com/,5,2,Concepteur de sites Web
Référencement Madagascar,"Lot A71 Antohibe Antananarivo, 105",034 96 496 95,https://referencement-madagascar.com/,5,9,Concepteur de sites Web
"My Smart Content - agence de marketing digital, agence de rédaction web, agence SEO et SEA",Antananarivo 101,034 59 566 24,,3.3,3,Agence de marketing
NR Agency,"Behoririka, Lot IVF 35, Antananarivo 101",034 32 437 30,https://nragency.tech/,,,Concepteur de sites Web
NEWAKEY,"Rue Razeroma, Antananarivo",034 25 121 06,https://newakey.com/,5,4,Agence de marketing
Artemis Web Agency,"Lot VN 21 Andohalo Antananarivo, 101",+33 9 70 46 04 50,,5,1,Concepteur de sites Web
STEP UP Agence,"Androhibe, Antananarivo 101",034 81 242 62,https://stepupagence.com/,4.5,2,Agence de marketing
MyAgency,"lot II O 120 F Anjanahary Antananarivo, 101",034 37 868 34,https://www.myagency.mg/,5,3,Concepteur de sites Web
We On Web - Agence Web et SEO à Madagascar,"Soavadia, Antananarivo 101",032 86 095 02,https://we-on-web.com/,5,3,Concepteur de sites Web
IC-Créa Agence digitale,Antananarivo 101,032 75 025 42,,4.8,5,Agence de marketing
Madagascar Web Services,"Lot VO4 bis AA Miandrarivo, 101",032 29 390 56,https://madawebservices.wordpress.com/,4.5,2,Service de marketing Internet
Agence Web Mada,"Terrain Cité Itaosy, Antananarivo 102",034 55 687 55,http://www.agencewebmada.com/,5,2,Service de marketing Internet
XR TECHNOLOGIE,"LOT PR109 Ter Ambodivoanjo, Antananarivo 101",038 92 303 68,http://xr-technologie.com/,4.5,2,Assistance et services informatiques
eTech,Antananarivo,020 22 536 04,https://www.etechconsulting-mg.com/,4.6,20,Entreprise de logiciels
Mahay Tech,"Lot 119 C Bis B, Antananarivo 101",034 54 662 94,,5,1,Entreprise de logiciels
Salema IT,"3HJG+HH9, Antananarivo",034 35 542 85,https://salemait.rf.gd/,5,3,Entreprise de logiciels
Ingenosya,"Lot III U 134 Anosizato EST Antananarivo, 101",032 05 693 62,https://www.ingenosya.com/,4.1,15,Entreprise de logiciels
Teknet Group,"BP: 3914 - 3e Etage Immeuble Trade Tower Alarobia, Antananarivo 101",020 23 334 45,https://www.teknetgroup.com/,4,3,Assistance et services informatiques
ValanoTech,"La City, Antananarivo 101",038 06 513 48,https://www.valanotech.com/,4.4,9,Entreprise de logiciels
OPTIMUS Technology,"Lalana Andrianaivoravelona Josefa, Mpitandrina, Lot VG 25 Bis Antsahabe, Antananarivo 101",032 05 604 02,https://www.informatiques-madagascar.com/,3.8,16,Magasin d'informatique
Hari Work,"Lot II H 6 Bis Nanisana, Antananarivo 101",032 66 379 02,https://seekyourdata.com/,4.7,39,Consultant informatique
Wedig'IT,"FII113 immeuble pharmacie d'Ambohimahitsy Antananarivo, 101",034 69 794 36,,5,5,Entreprise de logiciels
Mika Tech,"3GF8+HC5, Antananarivo",038 40 903 54,,5,2,Assistance et services informatiques
MDG-IT,"28 Rue Farafaty Ampandrinomby Batiment K , Ex cité BRGM Antananarivo, 101",032 11 611 11,,5,1,Entreprise de logiciels
