name,category,channel,subject,body,email,whatsapp,phone,city,region,language,website,rating,address,place_id
Cabinet médical Gobelins Port Royal,medical,none,,,,,,Paris,france,fr,,5,"18 Rue de la Glacière, 75013 Paris",ChIJt2hsJQBx5kcRmlVedyQMY2U
Cabinet Médical,medical,none,,,,,,Paris,france,fr,,4.5,"57 Av. Ibsen, 75020 Paris",ChIJe_5ATABt5kcRrPNTUO30pc8
Cabinet de santé MONTCHAT,medical,none,,,,,,Lyon,france,fr,,5,"Centre de Santé, 26 Cours Dr Long, 69003 Lyon",ChIJQxP7ZgDB9EcRniQ6UMx02NQ
Les Ateliers-Boutique de Créateurs,retail,none,,,,,,Lyon,france,fr,,4.4,"19 Rue René Leynaud, 69001 Lyon",ChIJwRg9Nfzq9EcRkTIIJnm199M
Cabinet médical,medical,none,,,,,,Marseille,france,fr,,2.3,"199 Av. des Chartreux, 13004 Marseille",ChIJ7U4x5oa_yRIRyn6P38dyfFk
Boutique Lise,retail,none,,,,,,Marseille,france,fr,,4.3,"209 Av. des Chartreux, 13004 Marseille",ChIJAQB0EXu_yRIRdtdJ_wpUvAI
Maison Médicale Poincaré,medical,none,,,,,,Bordeaux,france,fr,,2.4,"9 Av. Raymond Poincaré, 33200 Bordeaux",ChIJoW3vIx_YVA0Row0p3tu7t-8
La Petite Boutique Fondaudege,retail,none,,,,,,Bordeaux,france,fr,,4.4,"123 Rue Fondaudège, 33000 Bordeaux",ChIJ36RJ-98nVQ0RSSEBCBqVBR0
La Boutique d'Ozzie,retail,none,,,,,,Bordeaux,france,fr,,4.9,"67 Rue de Marly, 33700 Mérignac",ChIJWUQfQaqkcA8RV3ZF8ikm_98
Cabinet Médical De La Fraternité,medical,none,,,,,,Nantes,france,fr,,5,"54 Bd de la Fraternité, 44100 Nantes",ChIJ7SwMum7sBUgRMl7Bkes7yx4
Hélios Santé- Cabinet de médecine et kinésithérapie du sport,medical,none,,,,,,Nantes,france,fr,,5,"12 Boulevard Giséle Halimi, 44200 Nantes",ChIJ_14Vjp61l0URKZ2FWFCilI4
cabinet médical,medical,none,,,,,,Nantes,france,fr,,,"Rue Jean Jaurès, 44800 Saint-Herblain",ChIJY-N3qpPsBUgR4H0rznJMjOU
Graines d’ici boutique,retail,none,,,,,,Nantes,france,fr,,5,"10 Rue des Carmes, 44000 Nantes",ChIJURIjKADvBUgRRD_AOuqrS6A
Boutique Louve,retail,none,,,,,,Nantes,france,fr,,5,"21 Rue Racine, 44000 Nantes",ChIJx-0DXADtBUgRTWNa5KTqn4s
