name,address,city,region,language,phone,whatsapp,email,website,rating,reviews,type,place_id
Le P'tit Bistrot,"8 Rue Saint-Martin, 75004 Paris",Paris,france,fr,0142785580,0142785580,,,4.6,1472,Bistro,ChIJ7WkibR5u5kcR12JLnyKyw3E
Cabinet médical Gobelins Port Royal,"18 Rue de la Glacière, 75013 Paris",Paris,france,fr,,,,,5,3,Centre médical,ChIJt2hsJQBx5kcRmlVedyQMY2U
Cabinet Médical,"57 Av. Ibsen, 75020 Paris",Paris,france,fr,,,,,4.5,2,Centre médical,ChIJe_5ATABt5kcRrPNTUO30pc8
Cabinet Médical La Fayette,"205 Rue du Faubourg Saint-Martin, 75010 Paris",Paris,france,fr,0140347800,0140347800,,,3,31,Médecin généraliste,ChIJ4UWwNHBu5kcRjIfIFrSbMGk
Cabinet Médical Bolivar,"2 Rue Sadi Lecointe, 75019 Paris",Paris,france,fr,0183642939,0183642939,,,5,1,Médecin généraliste,ChIJlXl-K4ht5kcRS2XtOuHkaNE
La Boutique Extraordinaire,"67 Rue Charlot, 75003 Paris",Paris,france,fr,0157406885,0157406885,,,4.9,16,Boutique d'articles de mode,ChIJHaD9XAZu5kcR0NS0aMSh93M
La Tamtamerie - Restaurant /Bar Villeurbanne,"18 Rue Poizat, 69100 Villeurbanne",Lyon,france,fr,0951423588,0951423588,,,4.9,496,Restaurant,ChIJb2H6n9TB9EcRD4hgugVivoA
BIG BAY,"200 Rue du 4 Août 1789, 69100 Villeurbanne",Lyon,france,fr,0746749566,0746749566,,,5,496,Restaurant,ChIJke0QMvrB9EcRg75oQIHxDRg
Le P’tit clément,"57 bis Pl. Jules Grandclément, 69100 Villeurbanne",Lyon,france,fr,0428290125,0428290125,,,4.7,59,Pizzeria,ChIJbT0V0KzB9EcRitzFmL28vd0
A table,"Centre commercial les samouraïs, 2 All. Henri Georges Clouzot, 69100 Villeurbanne",Lyon,france,fr,0478891638,0478891638,,,4.7,82,Restaurant français,ChIJD8svJpHq9EcR8i2dqryluD0
Le Jardin d' Aline,"4 Rue Jean-Baptiste Clément, 69100 Villeurbanne",Lyon,france,fr,0983851908,0983851908,,,4.6,753,Restaurant,ChIJkdhEEh_A9EcRenzzIaqzS0A
TASTY CHOWAYA,"56 Pl. Jules Grandclément, 69100 Villeurbanne",Lyon,france,fr,0478370385,0478370385,,,5,20,Restaurant,ChIJD75RHJbB9EcRbdmvm_oWBCo
Ptit Bistroy,"44 Av. Marc Sangnier, 69100 Villeurbanne",Lyon,france,fr,0481651571,0481651571,,,4.5,371,Restaurant,ChIJNX8HgiLB9EcR_jLcS7dLptE
ARMEN RESTAURANT,"6 Rue Melzet, 69100 Villeurbanne",Lyon,france,fr,0762973169,0762973169,,,4.8,755,Restaurant,ChIJVRdiC67r9EcRJFR41Nj1Pmc
Chez l'Asiat - Wok & Viêt,"4 Rue Jean-Claude Vivant, 69100 Villeurbanne",Lyon,france,fr,0437729105,0437729105,,,4.9,222,Restaurant asiatique,ChIJpZoI3yHr9EcRH5jXXp4pytM
Cabinet Médical de Monplaisir,"105 Cr Albert Thomas, 69003 Lyon",Lyon,france,fr,0437912424,0437912424,,,3,24,Clinique,ChIJuSKTT97B9EcRt4L1IM7k7K4
Centre Médical Galilée,"61 Rte de Genas, 69100 Villeurbanne",Lyon,france,fr,0472133191,0472133191,,,4.7,35,Centre médical,ChIJA6A2NdDB9EcR4NjWkaRfk4Q
Cabinet Médical le Mail (sur rdv le matin et sans rdv l'après-midi),"8 Bis Rue du Mail, 69004 Lyon",Lyon,france,fr,0478281901,0478281901,,,3.8,101,Cabinet médical,ChIJATlXQuLq9EcR1SmIR12rFKs
Centre Médical EKLA,"372 Bd des Canuts, 69300 Caluire-et-Cuire",Lyon,france,fr,0426780511,0426780511,,,4.8,165,Centre médical,ChIJX859Mhvr9EcRVbCNvGBbS7Q
Cabinet de santé MONTCHAT,"Centre de Santé, 26 Cours Dr Long, 69003 Lyon",Lyon,france,fr,,,,,5,15,Cabinet médical,ChIJQxP7ZgDB9EcRniQ6UMx02NQ
Malik Boutique Couture,"5 Rue Auguste Lacroix, 69003 Lyon",Lyon,france,fr,0782985022,0782985022,,,5,1006,Magasin de vêtements,ChIJC4KbkFzq9EcRnmzqck-KkGk
boutique new delhi lyon/ Nuances Bohème,"6 Pl. de la Baleine, 69005 Lyon",Lyon,france,fr,0478426335,0478426335,,,4.1,108,Magasin de vêtements,ChIJPYEUlqrr9EcRSRR4l3xpGN8
Les Ateliers-Boutique de Créateurs,"19 Rue René Leynaud, 69001 Lyon",Lyon,france,fr,,,,,4.4,44,Magasin,ChIJwRg9Nfzq9EcRkTIIJnm199M
Solis - Boutique Créateurs Concept Multimarque femme,"6 Quai Jules Courmont, 69002 Lyon",Lyon,france,fr,0472409327,0472409327,,,5,9,Magasin de vêtements pour femmes,ChIJj_fE4LLr9EcRrgiN_sUAhfM
Les terrasses du Barjaquer,"30 Cr Honoré d'Estienne d'Orves, 13001 Marseille",Marseille,france,fr,0601463656,0601463656,,,4.7,339,Restaurant,ChIJ4Trhw_7ByRIRlUvOTOvFpOA
Placette,"22 Rue de la Guirlande, 13002 Marseille",Marseille,france,fr,0983538341,0983538341,,,4.6,629,Restaurant,ChIJVT1aouLByRIR8eTj0p26gWk
Restaurant Bistrot O' Prado,"1 Bd Périer, 13008 Marseille",Marseille,france,fr,0486128776,0486128776,,,4.7,932,Restaurant méditerranéen,ChIJqz2PMVPHyRIR27e3y6kc90g
LuLu,"23 Pl. Thiars, 13001 Marseille",Marseille,france,fr,0951913368,0951913368,,,4.6,2322,Restaurant,ChIJP9tkua_ByRIR-5zUojXx8SY
l'Inattendu,"35 Rue de la Paix Marcel Paul, 13001 Marseille",Marseille,france,fr,0783912769,0783912769,,,4.5,1282,Restaurant français,ChIJ0xJ0gsfAyRIRvoceTwMBLdc
Cabinet Médical Montgrand,"22 Rue Montgrand, 13006 Marseille",Marseille,france,fr,0491549282,0491549282,,,2.3,39,Clinique,ChIJPRgkJbrAyRIRvOQNGEHjzvA
Centre Médical Garibaldi,"1 Bd Garibaldi, 13001 Marseille",Marseille,france,fr,0491365300,0491365300,,,3.9,26,Médecin généraliste,ChIJ8UmNBr3AyRIRRZSFZaiGuzw
Maison Médicale du Vieux-Port,"48 Rue de la République, 13002 Marseille",Marseille,france,fr,0491906564,0491906564,,,3.1,34,Centre médical,ChIJu4x6nerAyRIR4tZA386_31E
Cabinet Médical K12,"Le marché Provençal, 123 Avenue de Saint Julien, 123 Av. de Saint-Julien, 13012 Marseille",Marseille,france,fr,0954405729,0954405729,,,3.8,57,Centre médical,ChIJh9ijKRC_yRIRQnJn_8i2BpE
Cabinet médical,"199 Av. des Chartreux, 13004 Marseille",Marseille,france,fr,,,,,2.3,3,Cabinet médical,ChIJ7U4x5oa_yRIRyn6P38dyfFk
Longchamp Santé,"136 Bd Longchamp, 13001 Marseille",Marseille,france,fr,0486012959,0486012959,,,3.7,23,Centre médical,ChIJyRU_YYTByRIR1oOmHWLi3fM
Cabinet Médical Rabatau,"47 Bd Rabatau, 13008 Marseille",Marseille,france,fr,0491807160,0491807160,,,,,Médecin,ChIJmTAKu5q5yRIRdUZPchBV8ZQ
Cabinet médical La Sauvagère,"La Sauvagère, 253 Bd Romain Rolland Bat. E43, 13010 Marseille",Marseille,france,fr,0491751286,0491751286,,,4.1,28,Clinique,ChIJDUa6Bba4yRIRuWLV-OIv2rg
Centre Médical Louis Maurel,"2 Rue Louis Maurel, 13006 Marseille",Marseille,france,fr,0491370269,0491370269,,,4.8,9,Centre médical,ChIJ-6kI47HAyRIRWE9PzLNXQNc
Centre médical Romain Rolland,"253 Bd Romain Rolland, 13010 Marseille",Marseille,france,fr,0491329532,0491329532,,,3.3,76,Centre médical,ChIJ0dYYBra4yRIRhFytNJ6WLAY
Arkan Boutique,"143 Rue Félix Pyat, 13003 Marseille",Marseille,france,fr,0661552641,0661552641,,,5,24,Librairie,ChIJl2-1fBLByRIRRN_YxOBjCRw
Boutique KENZA Friperie,"52 Rue Puvis de Chavannes, 13002 Marseille",Marseille,france,fr,0465957167,0465957167,,,4.6,91,Friperie,ChIJxcHJvUHByRIRWrXin0E47dI
Laurie Boutique,"125 Rue de Rome, 13006 Marseille",Marseille,france,fr,0491487543,0491487543,,,4.1,13,Magasin de vêtements,ChIJ8e6wgrrAyRIRCU1ilbUHgfE
Boutique Lise,"209 Av. des Chartreux, 13004 Marseille",Marseille,france,fr,,,,,4.3,46,Magasin de vêtements,ChIJAQB0EXu_yRIRdtdJ_wpUvAI
Boutique Equateur X Snatch,"62 Rue Grignan, 13001 Marseille",Marseille,france,fr,0491547832,0491547832,,,4.7,24,Magasin de vêtements pour hommes,ChIJsR8XRrjAyRIR09MGdpY__zg
La Poubelle du Chef,"21 Av. du Président Wilson, 33700 Mérignac",Bordeaux,france,fr,0556974525,0556974525,,,4.6,307,Restaurant,ChIJxfuG8y7YVA0R_JmenMq2b2Q
Le 76 - Mérignac,"76 Av. du Truc, 33700 Mérignac",Bordeaux,france,fr,0664265378,0664265378,,,4.9,95,Restaurant,ChIJT5sw52HXVA0RZhA39EbbrY8
La maison médicale,"80 Av. du Truc, 33700 Mérignac",Bordeaux,france,fr,0547746240,0547746240,,,4,5,Groupe médical,ChIJnfKtPHHXVA0RIYnYFrK7-6o
Cabinet médical Primary Talence,"336 Cr de la Libération, 33400 Talence",Bordeaux,france,fr,0564724557,0564724557,,,,,Centre médical,ChIJs0P9CgAnVQ0Rs1FgvCnNXMo
Cabinet Médical Saint Michel,"6 Rue Camille Sauvageau, 33800 Bordeaux",Bordeaux,france,fr,0556917161,0556917161,,,4.6,9,Cabinet médical,ChIJbRksEcsnVQ0ROL1ZiyrU2JE
La Villa Médicale,"2 Av. Henri Barbusse, 33700 Mérignac",Bordeaux,france,fr,0556478631,0556478631,,,5,1,Cabinet médical,ChIJWfWemnnXVA0R2nPjCQLD0YY
Maison Médicale Poincaré,"9 Av. Raymond Poincaré, 33200 Bordeaux",Bordeaux,france,fr,,,,,2.4,69,Cabinet médical,ChIJoW3vIx_YVA0Row0p3tu7t-8
Cabinet de santé Pey Berland,"16 Pl. Pey Berland, 33000 Bordeaux",Bordeaux,france,fr,0533054163,0533054163,,,,,Médecin généraliste,ChIJFaFj9t8nVQ0RlfrVoHHC3GI
XOOS MERIGNAC SOLEIL,"Av. de la Somme, 33700 Mérignac",Bordeaux,france,fr,0981440898,0981440898,,,4.6,50,Magasin de vêtements,ChIJObQeapXZVA0RBX1APH6Wens
La Petite Boutique Fondaudege,"123 Rue Fondaudège, 33000 Bordeaux",Bordeaux,france,fr,,,,,4.4,111,Boutique d'articles de mode,ChIJ36RJ-98nVQ0RSSEBCBqVBR0
La Boutique d'Ozzie,"67 Rue de Marly, 33700 Mérignac",Bordeaux,france,fr,,,,,4.9,10,Boutique de cadeaux,ChIJWUQfQaqkcA8RV3ZF8ikm_98
"Boutique Mieux, prêt-à-porter et accessoires mode femme à Bordeaux","33 Rue Saint-James, 33000 Bordeaux",Bordeaux,france,fr,0981892868,0981892868,,,4.7,151,Magasin de vêtements,ChIJl7hgPM8nVQ0RtpTKur23Who
BOUTIQUE TOUT CHIC,"1 Rue Beaumarchais, 33150 Cenon",Bordeaux,france,fr,0767571166,0767571166,,,4.5,15,Magasin de vêtements,ChIJ_bn4hVsvVQ0Rki3_65nCqE4
Sai Shop - Boutique ethnique,"203 Rue Sainte-Catherine, 33000 Bordeaux",Bordeaux,france,fr,0517221290,0517221290,,,4.1,64,Magasin de vêtements,ChIJ5ZXRgcgnVQ0RS65wLoa2cag
HEXAGONE GROUPE - Entreprise de Construction & Promotion,"153 Rue Turenne, 33000 Bordeaux",Bordeaux,france,fr,0556995506,0556995506,,http://www.hexagone-groupe.com/,3.2,10,Entreprise de construction,ChIJDZwQst8nVQ0RGNeN8D0fQIA
Arcins Entreprise,"171 Av. du Maréchal Leclerc, 33130 Bègles",Bordeaux,france,fr,0556811629,0556811629,,,3.3,4,Paysagiste,ChIJm-_r7mEmVQ0RTbcGidcqwmQ
Le 51,"51 Bd Jean Moulin, 44100 Nantes",Nantes,france,fr,0668088661,0668088661,,,4.8,752,Restaurant,ChIJmYiB4zftBUgRjCvNt33bVNk
Le Velvet Restaurant,"7 All. Jacques Berque, 44000 Nantes",Nantes,france,fr,0651827707,0651827707,,,4.7,300,Restaurant,ChIJxbF8ohLvBUgRKjFoMgiNG2I
Jaleo,"33 Pl. Jean Macé, 44100 Nantes",Nantes,france,fr,0988490495,0988490495,,,4.8,137,Restaurant,ChIJwRfgYhHrBUgR0cckzXVGx6k
Cabinet médical,"26 Av. des Thébaudières, 44800 Saint-Herblain",Nantes,france,fr,0240635810,0240635810,,,5,12,Médecin,ChIJS7hhpwvtBUgRqaRbBkcktMU
Cabinet Médical De La Fraternité,"54 Bd de la Fraternité, 44100 Nantes",Nantes,france,fr,,,,,5,1,Médecin,ChIJ7SwMum7sBUgRMl7Bkes7yx4
Cabinet médical Saint Clément,"12-14 Rue Maréchal Joffre, 44000 Nantes",Nantes,france,fr,0240740011,0240740011,,,3.4,5,Cabinet médical,ChIJhw1xKWjvBUgRjgicIEnxCZs
